13:49:10.885 [Thread-11] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
14:38:54.471 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_131\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Program Files\Microsoft SQL Server\120\DTS\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\110\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\ManagementStudio\;C:\Program Files (x86)\Microsoft SQL Server\120\DTS\Binn\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\170\Tools\Binn\;E:\Code\apache-maven-3.6.2\bin;E:\mysql-5.7.27-winx64\bin;C:\Program Files\nodejs\;C:\Users\zcl\AppData\Local\Microsoft\WindowsApps;;C:\Users\zcl\AppData\Local\Programs\Microsoft VS Code\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.3\bin;;C:\Users\zcl\AppData\Roaming\npm;.]
14:38:54.556 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:38:54.765 [main] INFO  com.buoyantec.JedisConfig - 初始化Redis连接池JedisPool成功! Redis地址: 127.0.0.1:6379
14:38:55.825 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7777"]
14:38:55.834 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
14:38:55.850 [main] INFO  com.buoyantec.App - Started App in 3.906 seconds (JVM running for 4.855)
14:39:06.386 [http-nio-7777-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
15:08:45.827 [main] INFO  com.buoyantec.App - Starting App on DESKTOP-2EMH2EM with PID 19360 (E:\RCJL\RCJL-Controller\target\classes started by zcl in E:\RCJL)
15:08:45.834 [main] INFO  com.buoyantec.App - No active profile set, falling back to default profiles: default
15:08:46.773 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

15:08:46.783 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

15:08:46.817 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化AuthRealm成功!!

15:13:19.130 [main] INFO  com.buoyantec.App - Starting App on DESKTOP-2EMH2EM with PID 5780 (E:\RCJL\RCJL-Controller\target\classes started by zcl in E:\RCJL)
15:13:19.135 [main] INFO  com.buoyantec.App - No active profile set, falling back to default profiles: default
15:13:20.018 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

15:13:20.026 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

15:13:20.057 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化AuthRealm成功!!

15:13:20.830 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化securityManager成功！

15:13:20.846 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化shiroFilterFactoryBean成功

15:13:20.896 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化authorizationAttributeSourceAdvisor成功！

15:13:21.237 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7777"]
15:13:21.245 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
15:13:21.246 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.34
15:13:21.250 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_131\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Program Files\Microsoft SQL Server\120\DTS\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\110\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files (x86)\Microsoft SQL Server\120\Tools\Binn\ManagementStudio\;C:\Program Files (x86)\Microsoft SQL Server\120\DTS\Binn\;C:\Program Files\dotnet\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Program Files\Microsoft SQL Server\Client SDK\ODBC\170\Tools\Binn\;E:\Code\apache-maven-3.6.2\bin;E:\mysql-5.7.27-winx64\bin;C:\Program Files\nodejs\;C:\Users\zcl\AppData\Local\Microsoft\WindowsApps;;C:\Users\zcl\AppData\Local\Programs\Microsoft VS Code\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.3\bin;;C:\Users\zcl\AppData\Roaming\npm;.]
15:13:21.337 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15:13:21.512 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
15:14:59.593 [main] INFO  com.buoyantec.App - Starting App on DESKTOP-2EMH2EM with PID 10260 (E:\RCJL\RCJL-Controller\target\classes started by zcl in E:\RCJL)
15:14:59.597 [main] INFO  com.buoyantec.App - No active profile set, falling back to default profiles: default
15:15:00.470 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

15:15:00.479 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化defaultAdvisorAutoProxyCreator！

15:15:00.512 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化AuthRealm成功!!

15:15:01.292 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化securityManager成功！

15:15:01.309 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化shiroFilterFactoryBean成功

15:15:01.357 [main] INFO  com.buoyantec.ShiroConfiguration - 初始化authorizationAttributeSourceAdvisor成功！

15:15:01.698 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7777"]
15:15:01.707 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
15:15:01.707 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.34
